,piece,file,rank,index,probability,count
670,Q,h,7,190,0.0014881232229763325,21761
121,n,c,2,601,0.00148942253556475,21780
666,P,h,7,186,0.001530590229155658,22382
265,n,g,3,553,0.0015382493349400132,22494
656,B,g,7,176,0.0015469342138204872,22621
753,R,g,8,81,0.0015504902272203663,22673
132,p,d,2,612,0.0015621156556430479,22843
642,P,f,7,162,0.0015849562032499637,23177
148,q,e,2,628,0.0016032149643608815,23444
146,b,e,2,626,0.0016035568887262544,23449
559,N,g,6,271,0.0016042407374570005,23459
577,n,a,7,97,0.0016103953760337143,23549
134,b,d,2,614,0.001617097093595025,23647
619,N,d,7,139,0.0016173022482142488,23650
266,b,g,3,554,0.0016277651337946622,23803
646,Q,f,7,166,0.0016306372984637954,23845
630,P,e,7,150,0.0016360397034366886,23924
718,Q,d,8,46,0.0016362448580559124,23927
317,k,c,4,413,0.0016372022462789568,23941
401,k,b,5,305,0.0016614788762204392,24296
644,B,f,7,164,0.0016796008675852077,24561
620,B,d,7,140,0.0016811053347928488,24583
208,q,b,3,496,0.0017027833395574965,24900
631,N,e,7,151,0.001718375090618505,25128
741,R,f,8,69,0.0017252819627990394,25229
63,r,f,1,735,0.0017308211375180818,25310
256,q,f,3,544,0.0017384802433024367,25422
622,Q,d,7,142,0.0017488747440097758,25574
120,p,c,2,600,0.0017503108263443423,25595
758,b,h,8,86,0.0017611156362901288,25753
87,r,h,1,759,0.0017664496563899474,25831
581,k,a,7,101,0.0017666548110091714,25834
136,q,d,2,616,0.0017842981082624176,26092
311,K,b,4,407,0.0017916152896813996,26199
419,K,c,5,323,0.0018223200976918942,26648
562,Q,g,6,274,0.0018362706117991123,26852
10,Q,a,1,682,0.0018389376218490216,26891
96,p,a,2,576,0.0018420833260104532,26937
232,q,d,3,520,0.001846733497379526,27005
634,Q,e,7,154,0.0018837297137128835,27546
115,N,b,2,595,0.0018939874446740731,27696
765,R,h,8,93,0.0019015781655853537,27807
122,b,c,2,602,0.0019110152780696483,27945
103,N,a,2,583,0.0019141609822310797,27991
80,B,g,1,752,0.0019182640746155555,28051
267,r,g,3,555,0.0019279063417190739,28192
108,p,b,2,588,0.0019279747265921485,28193
606,P,c,7,126,0.0019295475786728644,28216
607,N,c,7,127,0.001970783657136847,28819
473,k,h,5,377,0.001973860976425204,28864
502,Q,b,6,214,0.0019791949965250227,28942
365,k,g,4,461,0.0019835032435287225,29005
124,q,c,2,604,0.0019940345139822105,29159
244,q,e,3,532,0.0020116778112354568,29417
677,k,a,8,5,0.0020166699069699024,29490
610,Q,c,7,130,0.00202302970016584,29583
586,Q,a,7,106,0.0020299365723463747,29684
490,Q,a,6,202,0.0020374589083845805,29794
431,K,d,5,335,0.0020539396627955587,30035
594,P,b,7,114,0.002057905985433885,30093
280,q,h,3,568,0.0020600259164991978,30124
8,B,a,1,680,0.0020842341615676056,30478
467,K,g,5,371,0.0020996891428824646,30704
561,R,g,6,273,0.0021172640552626367,30961
383,K,h,4,479,0.0021268379374930805,31101
632,B,e,7,152,0.002135591201246629,31229
560,B,g,6,272,0.0021491314061153994,31427
106,Q,a,2,586,0.0021630819202226176,31631
608,B,c,7,128,0.0021690314041801074,31718
194,b,a,3,482,0.0021932396492485152,32072
279,r,h,3,567,0.0021946073467100074,32092
253,n,f,3,541,0.002196522123156096,32120
100,q,a,2,580,0.0022084894759441505,32295
329,k,d,4,425,0.002212182259090179,32349
394,Q,a,5,298,0.002236048579793214,32698
373,n,h,4,469,0.0022703094012035876,33199
455,K,f,5,359,0.0022970478865757555,33590
582,P,a,7,102,0.0023458746859510186,34304
196,q,a,3,484,0.0023514822455431355,34386
171,r,g,2,651,0.002363654752950414,34564
550,Q,f,6,262,0.002364475371427309,34576
220,q,c,3,508,0.0023729550956885594,34700
443,K,e,5,347,0.0023772633426922592,34763
476,B,h,5,380,0.0023808877409652127,34816
618,P,d,7,138,0.0023902564685764328,34953
341,k,e,4,437,0.0023918293206571487,34976
107,K,a,2,587,0.0023988729625838323,35079
538,Q,e,6,250,0.002402634130602935,35134
353,k,f,4,449,0.0024028392852221588,35137
255,r,f,3,543,0.0024202090429831066,35391
514,Q,c,6,226,0.0024262269118136715,35479
573,R,h,6,285,0.002451802854343571,35853
596,B,b,7,116,0.0024682836087545493,36094
686,b,b,8,14,0.0024738911683466662,36176
206,b,b,3,494,0.0024898932286461224,36410
363,r,g,4,459,0.002513622779603008,36757
477,R,h,5,381,0.00252435920467572,36914
465,R,g,5,369,0.0025251798231526153,36926
657,R,g,7,177,0.0025356427087330287,37079
459,r,g,5,363,0.0025394038767521314,37134
598,Q,b,7,118,0.002547541676648009,37253
110,b,b,2,590,0.0025683306780626865,37557
375,r,h,4,471,0.0025690145267934328,37567
364,q,g,4,460,0.0025733911586702067,37631
51,r,e,1,723,0.002629329984845228,38449
392,B,a,5,296,0.002644511426667789,38671
729,R,e,8,57,0.0026554530063597247,38831
70,Q,f,1,742,0.0026563420097096948,38844
205,n,b,3,493,0.0026789774026973866,39175
549,R,f,6,261,0.002679250942189685,39179
488,B,a,6,200,0.0027035275721311674,39534
526,Q,d,6,238,0.0027087932073579114,39611
386,b,a,5,290,0.002733548531410916,39973
11,K,a,1,683,0.0027437378774990313,40122
589,n,b,7,109,0.0027445584959759264,40134
159,r,f,2,639,0.002758577394956219,40339
568,q,h,6,280,0.002764663648659858,40428
369,R,g,4,465,0.002768971895663558,40491
374,b,h,4,470,0.0027983090062125605,40920
112,q,b,2,592,0.0027984457759587097,40922
15,r,b,1,687,0.0028000870129125,40946
183,r,h,2,663,0.002800292167531724,40949
243,r,e,3,531,0.0028312021301614425,41401
471,r,h,5,375,0.002840844397264961,41542
497,k,b,6,209,0.002855957454214447,41763
189,R,h,2,669,0.0028609495499488926,41836
241,n,e,3,529,0.0028834481731904353,42165
475,N,h,5,379,0.0029050577930820084,42481
175,N,g,2,655,0.0029421223942884406,43023
397,n,b,5,301,0.0029460887169267674,43081
693,R,b,8,21,0.002992795585236718,43764
292,q,a,4,388,0.0030096866488861437,44011
454,Q,f,5,358,0.00301201173457068,44045
290,b,a,4,386,0.0030206282285780797,44171
406,Q,b,5,310,0.003042990082073473,44498
215,K,b,3,503,0.003046409325727203,44548
418,Q,c,5,322,0.0030488711811578885,44584
307,N,b,4,403,0.003057829599530661,44715
381,R,h,4,477,0.0030742419690685647,44955
242,b,e,3,530,0.003091885266321811,45213
663,r,h,7,183,0.003094073582260198,45245
669,R,h,7,189,0.003106177704794402,45422
413,k,c,5,317,0.0031140419651979807,45537
323,K,c,4,419,0.0031169825147401883,45580
27,r,c,1,699,0.0031454306219392213,45996
